rep,n_players,victors,environment,n_imposters
1,5,imposters,skeld,1
2,5,imposters,skeld,1
3,6,crewmates,skeld,1
4,7,crewmates,skeld,1
5,4,crewmates,skeld,1
6,7,crewmates,skeld,1
7,10,crewmates,skeld,1
8,10,crewmates,skeld,1
9,4,crewmates,skeld,1
10,4,crewmates,skeld,1
11,4,imposters,skeld,1
12,7,imposters,skeld,1
13,7,imposters,skeld,1
14,9,imposters,skeld,2
15,9,crewmates,skeld,1
16,7,imposters,skeld,1
17,7,crewmates,skeld,1
18,7,imposters,skeld,1
19,8,crewmates,skeld,1
20,8,crewmates,skeld,1